legalName,website,city,state,zipCode,apartmentOrSuite,streetNumber,streetOrRoad,country,linkedInPage,aum,fundOrSyndication,assetClass,irr,coc,equityMultiple,fees,holdPeriod,exemption
Creekstone Companies,creekstonecompanies.com,Houston,Texas,77027,,4545,Post Oak Place Drive,United States,linkedin.com/company/creekstone-companies,,Syndication,"Commercial, Multifamily",,,,,,
Ironton Capital,irontoncapital.com,Denver,Colorado,80222,Suite: 150,2755,South Locust Street,United States,,30000000,Fund,"Commercial, Multifamily",,,,,,
Stryker,strykerprop.com,,,,,,,,,611000000,Syndication,"Commercial, Multifamily",,,,,,
First National Realty Partners,fnrpusa.com,Red Bank,New Jersey,07701,,151,Bodman Place,United States,linkedin.com/company/first-national-realty-partners-llc,2000000000,Syndication,"Commercial",,,,,,
Coughlin and Company,coughlinandcompany.com,,,,,,,Canada,linkedin.com/company/coughlin-and-company-inc,,Syndication,"Commercial, Residential",,,,,,
Cowley Real Estate Partners,cowleyrep.com,,,,,,,,,,Syndication,"Commercial, Residential",,,,,,
The Schueler Group,schuelergroup.com,,,,,,,,linkedin.com/company/henkle-schueler,,,"Commercial, Residential",,,,,,
OKO Group,okogroup.com,,,,,,,,linkedin.com/company/oko-group,,Syndication,"Commercial, Retail, Hospitality, Multifamily",,,,,,
US REO Fund,usreofund.com,Frisco,Texas,,,,,United States,,,Fund,"Commercial, Single Family",,,,,,
Friendwell Group of Companies,friendwell.com,Edison,New Jersey,08817,,2025,Lincoln Highway,United States,linkedin.com/company/friendwell-group-of-companies,,Syndication,"Commercial, Office, Hotels",,,,,,
iCross Capital,icrosscapital.com,,New York,,,,,United States,,,,Condominiums,,,,,,
Eight-Nine King Development,89kdc.com,,,,,,,,,,Syndication,Construction,,,,,,
Empire Building Construction,empireconst.com,,,,,,,,,,Syndication,Construction,,,,,,
Legacy Group Capital,legacyg.com,,,,,,,,linkedin.com/company/legacy-group-capital-llc,,Fund,Construction,,,,,,
Fairbrook Communities,fairbrookcommunities.com,Newport Beach,California,,,,,United States,,,Syndication,"Construction, Apartments",,,,,,
Radonic Corp,radonic-corp.com,,,,,,,,,,Syndication,"Construction, Design",,,,,,
Ascend Equity,roi-bydesign.com,,,,,,,,,,Syndication,"Construction, Design",,,,,,
First Victory,firstvictory.com,,,,,,,,,,,"Construction, Development",,,,,,
New Standard Equities,newstandardequities.com,,,,,,,,,,Syndication,"Construction, Management",,,,,,
Overland Group,overlandcorp.com,Draper,Utah,,,,,United States,,,Syndication,"Construction, Management",,,,,,
Peregrine Group LLC,peregrinegrp.com,,,,,,,Canada,,,Syndication,"Construction, Management",,,,,,
Kefi Spaces,kefispaces.com,,,,,,,,linkedin.com/company/kefispaces,,Syndication,"Co-Warehouse, Office",,,,,,
Arroyo Holdings,arroyoholdings.com,,,,,,,,,,Syndication,"Data Centers, Industrial, Office",,,,,,
Farm Together,farmtogether.com,,,,,,,,,170,Syndication,Farmland,,,,,,
Capitis Real Estate Group,capitisregroup.com,,,,,,,,,,Syndication,Healthcare,,,,,,
"Coaction Group, LLC",coactiongrp.com,,,,,,,Canada,,,Fund,Healthcare,,,,,,
Cypress West Partners,cypresswestpartners.com,Rancho Santa Margarita,California,,,,,United States,,,Syndication,Healthcare,,,,,,
Meridian Veterinary Real Estate,meridianvetre.com,Dallas,Texas,,,,,United States,,,Syndication,Healthcare,,,,,,
