legalName,website,city,state,zipCode,apartmentOrSuite,streetNumber,streetOrRoad,country,linkedInPage,aum,fundOrSyndication,assetClass,irr,coc,equityMultiple,fees,holdPeriod,exemption
Regent Equity Inc,regentequity.net,Miami,Florida,,,,,United States,,,Syndication,"Multifamily, Commercial",,,,,,
RightQuest,rightquestllc.com,,,,,,,,,,Syndication,"Multifamily, Commercial",,,,,,
Rise48 Equity,rise48equity.com,,,,,,,Canada,,45,Syndication,"Multifamily, Commercial",,,,,,
Shopoff Realty Investments,shopoff.com,Irvine,California,92614,,2,Park Plaza,United States,linkedin.com/company/shopoffrealtyinvestments,,Fund,"Multifamily, Commercial",,,,,,
Sparklight Capital,sparklightcapital.com,,,,,,,,,10000000,Syndication,"Multifamily, Commercial",,,,,,
StarPoint Properties,starpointproperties.com,,,,,,,,,,Fund,"Multifamily, Commercial",,,,,,
Stonemark Housing Partners,stonemarkhp.com,,,,,,,,,1900,Syndication,"Multifamily, Commercial",,,,,,
Synergetic Investment Group,synergeticig.com,,,,,,,,,,Syndication,"Multifamily, Commercial",,,,,,
Terra Group,terragroup.com,Miami,Florida,,,,,United States,,,Syndication,"Multifamily, Commercial",,,,,,
Tesseract Capital Group,tesseractcapitalgroup.com,San Francisco,California,94114,,2191,Market Street,United States,linkedin.com/company/tesseract-capital-group,,Syndication,"Multifamily, Commercial",,,,,,
The Ardent Companies,theardentcompanies.com,Atlanta,Georgia,30305,,3565,Piedmont Road Northeast,United States,linkedin.com/company/the-ardent-companies,,Syndication,"Multifamily, Commercial",,,,,,
The Feldman Companies,thefeldmancompanies.com,,,,,,,,,,Syndication,"Multifamily, Commercial",,,,,,
The Kor Group,thekorgroup.com,Los Angeles,California,90291,,73,Market Street,United States,linkedin.com/company/the-kor-group,,Syndication,"Multifamily, Commercial",,,,,,
Unison Realty Partners,unisonrealtypartners.com,Boston,Massachusetts,02115,,177,Huntington Avenue,United States,linkedin.com/company/unison-realty-partners,,Syndication,"Multifamily, Commercial",,,,,,
Southcorp Group,southcorpusa.com,Columbus,Georgia,,,,,United States,,,Syndication,"Multifamily, Commercial, Construction",,,,,,
Everest Group of Companies,everestgroup.ca,,,,,,,,linkedin.com/company/everest-development-group-inc-,,Syndication,"Multifamily, Commercial, Hospitality",,,,,,
TF Management Group,tempofunding.com,,New York,11229,,2167,East 21st Street,United States,linkedin.com/company/tempo-funding-llc,,Fund or Syndication,"Multifamily, Commercial, Hospitality, Storage",,,,,,
Sterling Bay,sterlingbay.com,,,,,,,,,20000000000,Syndication,"Multifamily, Commercial, Industrial",,,,,,
Premier Properties,ppam.net,,,,,,,,,,Syndication,"Multifamily, Commercial, Management",,,,,,
Rilea Group,rileagroup.com,,,,,,,,,,Syndication,"Multifamily, Commercial, Office",,,,,,
The Carr Companies,thecarrcompanies.com,Washington,District of Columbia,20004,200,1455,Pennsylvania Avenue Northwest,United States,https://www.linkedin.com/company/carr-companies,180000000,Fund,"Multifamily, Commercial, Office",,,,,,
Haverkamp Group,haverkampgroup.com,,,,,,,,linkedin.com/company/haverkamp-properties,,Fund,"Multifamily, Commercial, Residential",,,,,,
UrbanStreet Group,urbanstreetgroup.com,,,,,,,,,,Syndication,"Multifamily, Commercial, Retail",,,,,,
PassiveInvesting.com,passiveinvesting.com,Irmo,South Carolina,,,,,United States,,1400,Fund,"Multifamily, Commercial, Storage",,,,,,
Wellings Capital,wellingscapital.com,Forest,Virginia,24551,,14805,Forest Road,United States,linkedin.com/company/wellings-capital-llc,500,Fund,"Multifamily, Commercial, Storage",,,,,,
Interwest Capital,interwestcapital.com,San Diego,California,92037,,4275,Executive Square,United States,linkedin.com/company/interwest-capital,2160000000,Syndication,"Multifamily, Development, Hospitality",,,,,,
ESI Ventures,esiventures.com,Los Angeles,California,91406,,7801,Hayvenhurst Avenue,United States,linkedin.com/company/esiventures,,Syndication,"Multifamily, Hospitality, Office",,,,,,
Six Four Asset Management,sixfourassetmanagement.com,,,,,,,,,,Syndication,"Multifamily, Hospitality",,,,,,
NHK Capital Partners,nhkcapitalpartners.com,Dallas,Texas,,,,,United States,linkedin.com/company/nhk-capital-partners,,Syndication,"Multifamily, Hospitality, Commercial",,,,,,
Property Markets Group,propertymg.com,,,,,,,,,10000000000,Syndication,"Multifamily, Hospitality, Commercial",,,,,,
Regent Partners,regentpartners.com,Atlanta,Georgia,30326,,3344,Peachtree Road Northeast,United States,linkedin.com/company/regent-partners,,Syndication,"Multifamily, Hospitality, Management",,,,,,
RREAF Holdings,rreaf.com,Dallas,Texas,75201,,1909,Woodall Rodgers Freeway,United States,linkedin.com/company/rreafholdings,,Syndication,"Multifamily, Hospitality, Management",,,,,,
Realty Capital Partners,rcpinvestments.com,,,,,,,,linkedin.com/company/realty-capital-partners,,Syndication,"Multifamily, Hospitality, Office, Industrial",,,,,,
Paradyme Investments,paradymecompanies.com,,,,,,,,,,Syndication,"Multifamily, Hospitality, Storage",,,,,,
Nestfund,nestfund.io,,,,,,,,,,Fund,"Multifamily, Hospitality, Storage, Senior Living",,,,,,
North Park Ventures,northparkventures.com,,,,,,,Canada,,400000000,Syndication,"Multifamily, Industrial",,,,,,
Midloch Investment Partners,midloch.com,Milwaukee,Wisconsin,53203,,710,North Plankinton Avenue,United States,linkedin.com/company/midloch-investment-partners,,Fund,"Multifamily, Industrial, Commercial",,,,,,
O’Connor Capital Partners,oconnorcp.com,,,,,,,,linkedin.com/company/o%27connor-capital-partners,6500000,Syndication,"Multifamily, Industrial, Retail, Hospitality",,,,,,
Impex Capital Group,impexcapitalgroup.com,,,,,,,,linkedin.com/company/impex-capital-group,1800000000,Syndication,"Multifamily, Industrial, Retail, Mixed Use",,,,,,
OBSIDIAN GROUP,obsidiangroup.com,Minneapolis,Minnesota,55401,,330,2nd Avenue South,United States,linkedin.com/company/obsidiangroup,,Syndication,"Multifamily, Industrial, Retail, Office",,,,,,
DWG Capital Partners,dwg-re.com,,,,,,,,,,,"Multifamily, Industrial, Retail, Office, Mixed Use, Development",,,,,,
Fundrise,fundrise.com,Washington,District of Columbia,20009,,1601,Connecticut Avenue Northwest,United States,linkedin.com/company/fundrise,7000000000,Syndication,"Multifamily, Industrial, Single Family",,,,,,
Next Wave Investors,nwimulti.com,,,,,,,,,1884,Syndication,"Multifamily, Management",,,,,,
Orion Real Estate Partners,orionrep.com,,,,,,,,,,Syndication,"Multifamily, Management",,,,,,
Polaris Real Estate Partners,polaris-lp.com,,,,,,,,linkedin.com/company/polaris-real-estate-partners,,Syndication,"Multifamily, Management",,,,,,
Range Group,rangegrp.com,,,,,,,,linkedin.com/company/range-grp,,Syndication,"Multifamily, Management",,,,,,
RealSource Properties,realsource.net,Cottonwood Heights,Utah,84121,,2089,Fort Union Boulevard,United States,linkedin.com/company/realsourceproperties,,Syndication,"Multifamily, Management",,,,,,
Signature Properties,signatureprops.net,Pikesville,Maryland,21208,,1700,Reisterstown Road,United States,linkedin.com/company/signature-properties-md,,Syndication,"Multifamily, Management",,,,,,
Roundhouse,rndhouse.com,,,,,,,,,,Syndication,"Multifamily, Management, Construction",,,,,,
Revesco Properties,revescoproperties.com,,,,,,,,,,Syndication,"Multifamily, Management, Office",,,,,,
Rowan Property Management,rowanpm.com,Kansas City,Missouri,,,,,United States,,,Syndication,"Multifamily, Management, Single Family",,,,,,
Marlin Spring,marlinspring.com,Toronto,Ontario,M6B 3A7,,2828,Bathurst Street,Canada,linkedin.com/company/marlinspringinvestments,,Syndication,"Multifamily, Office",,,,,,
Rhodium Capital Advisors,rhodiumre.com,,,,,,,,,,Syndication,"Multifamily, Office",,,,,,
Tavros Capital & Charney Companies,tavroscapital.com,,,,,,,,,,Syndication,"Multifamily, Office",,,,,,
Pepper Pike Capital Partners,pep-cap.com,Orange,Ohio,,,,,United States,,,Syndication,"Multifamily, Office,  Management",,,,,,
Tidegate Capital,tidegatecapital.com,Duxbury,Massachusetts,02331,,405,Washington Street,United States,linkedin.com/company/tidegate-capital,,Syndication,"Multifamily, Office, Commercial",,,,,,
Crescent Real Estate,crescent.com,Fort Worth,Texas,76102,750,777,Main Street,United States,linkedin.com/company/crescentrealestatellc,,Fund,"Multifamily, Office, Hospitality",,,,,,
Rose Valley Capital,rosevalleycapital.com,,,,,,,,,,Syndication,"Multifamily, Office, Industrial",,,,,,
Taurus Investment Holdings,tiholdings.com,,,,,,,,,10500000000,Syndication,"Multifamily, Office, Renewable Energy",,,,,,
Harbor Group International,harborg.com,,,,,,,,linkedin.com/company/harborgroupinternational,20000000000,Syndication,"Multifamily, Office, Retail",,,,,,
QC Capital,qccapitalgroup.com,,,,,,,,,,Fund,"Multifamily, Office, Retail",,,,,,
Prism Real Estate Services,prismres.com,Overland Park,Kansas,66212,,8826,Santa Fe Drive,United States,linkedin.com/company/prism-res-llc,,Syndication,"Multifamily, Office, Retail, Industrial",,,,,,
Presidium Group,presidiumre.com,,,,,,,,linkedin.com/company/presidium-group,2500000,Syndication,"Multifamily, Office, Retail, Student Housing",,,,,,
Frankforter Group,frankfortergroup.com,,,,,,,,linkedin.com/company/frankfortergroup,,Syndication,"Multifamily, Residential",,,,,,
Graystone Companies,graystoneco.com,Haymarket,Virginia,20169,,,,United States,,,Syndication,"Multifamily, Residential, Commercial",,,,,,
Greatwater Opportunity Capital,greatwater.us,Detroit,Michigan,48214,,8901,East Jefferson Avenue,United States,linkedin.com/company/greatwateropportunity,,,"Multifamily, Residential, Commercial",,,,,,
Boyer Company,boyercompany.com,,,,,,,,,,Syndication,"Multifamily, Residential, Retail, Mixed Use, Industrial",,,,,,
DelShah Capital,delshah.com,New York,New York,10003,,114,East 13th Street,United States,linkedin.com/company/delshah-capital-llc,1200000000,Syndication,"Multifamily, Retail, Hospitality",,,,,,
Banyan Court Capital,banyancourtcapital.com,Southlake,Texas,76092,,151,Players Circle,United States,linkedin.com/company/banyan-court-capital,,Syndication,"Multifamily, Retail, Industrial",,,,,,
Ilan Investments,ilaninvestments.com,,,,,,,,,,Syndication,"Multifamily, Retail, Land, Office, Industrial, Storage",,,,,,
Meridian Capital,meridiancap.com,Dallas,Texas,75219,,3811,Turtle Creek Boulevard,United States,linkedin.com/company/meridian-realty-advisors-l.p.,,Syndication,"Multifamily, Retail, Office",,,,,,
Lubert-Adler,lubertadler.com,Philadelphia,Pennsylvania,19103,,2400,Market Street,United States,linkedin.com/company/lubert-adler,9000000000,Fund,"Multifamily, Retail, Office, Hospitality",,,,,,
Gelt Ventures,gelt-ventures.com,,,,,,,,linkedin.com/company/gelt-inc,,Syndication,"Multifamily, Storage",,,,,,
Banner Real Estate Group,bannerrealestategroup.com,,,,,,,,linkedin.com/company/banner-real-estate-group,,Syndication,"Multifamily, Storage",,,,,,
Madison Capital Group,madisoncapgroup.com,,,,,,,,linkedin.com/company/madison-capital-group-llc,,Fund or Syndication,"Multifamily, Storage, Boat",,,,,,
Essential Realty Partners,erpartners.us,Dallas,Texas,75219,,2911,Turtle Creek Boulevard,United States,linkedin.com/company/essential-realty-partners,,Syndication,"Multifamily, Single Family",,,,,,
Investment.com,investment.com,,,,,,,,,,,"Multifamily, Single Family",,,,,,
Pintar Investment Company,pintarinvestmentcompany.com,San Juan Capistrano,California,92675,,27452,Calle Arroyo,United States,linkedin.com/company/pintar-investment-company,,Syndication,"Multifamily, Single Family",,,,,,
Red Summit Partners,redsummitpartners.com,,,,,,,,,,Syndication,"Multifamily, Single Family",,,,,,
Investors Choice OZ Fund,soundwestrc.com,,,,,,,,,650000000,Syndication,"Multifamily, Single Family",,,,,,
Strategic Properties,strategicproperties.com,Miami,Florida,33137,#203,250,Northeast 25th Street,United States,linkedin.com/company/strategic-properties,,Syndication,"Multifamily, Single Family",,,,,,
"Maven Investment Group, Inc",wedgewood-inc.com,,,,,,,Canada,,,Syndication,"Multifamily, Single Family",,,,,,
Kazi Property Group,kazipropertygroup.com,Los Angeles,California,90069,ste 800,750,North San Vicente Boulevard,United States,,,Syndication,"Multifamily, Single Family, Commercial",,,,,,
RD Advisors,rdadvisorsre.com,,,,,,,,linkedin.com/company/rd-advisors-llc,,Syndication,"Multifamily, Single Family, Commercial",,,,,,
FORT + HOME,fortandhome.com,,,,,,,,linkedin.com/company/fortandhome,,Syndication,"Multifamily, Single Family, Construction",,,,,,
GTIS Partners,gtispartners.com,New York,New York,,,,,United States,linkedin.com/company/gtis-partners,4200000000,Syndication,"Multifamily, Single Family, Industrial",,,,,,
Power Property Management,powerpropertymanagement.com,Culver City,California,90230,,11295,Washington Boulevard,United States,linkedin.com/company/power-property-management,,Syndication,"Multifamily, Single Family, Management",,,,,,
Realty Capital Residential,realtycapitalresidential.com,,,,,,,,,,Syndication,"Multifamily, Single Family, Office",,,,,,
Arabella Capital,arabella.capital,Buford,Georgia,30519,,,Lanier Parkway,United States,linkedin.com/company/arabella-capital,,Fund,"Multifamily, Storage",,,,,,
Reap Capital,reapcap.com,Dallas,Texas,75240,,5420,Lyndon B Johnson Freeway,United States,linkedin.com/company/reapcapital,90000000,Syndication,"Multifamily, Storage",,,,,,
Southwestern Property Corporation,swinvest.com,,,,,,,,linkedin.com/company/southwestern-property-corp,,Syndication,"Multifamily, Storage, Commercial",,,,,,
Jackson Dearborn Partners,jacksondearborn.com,Chicago,Illinois,60607,,404,South Wells Street,United States,https://www.linkedin.com/company/jackson-dearborn-partners/,,Syndication,"Multifamily, Student Housing",,,,,,
Palladius Capital Management,palladius.com,Austin,Texas,,,,,United States,https://www.linkedin.com/company/palladius-capital-management/,,Syndication,"Multifamily, Student Housing, Hospitality",,,,,,
Pinnacle Partners LLC,pinnacleoz.com,,,,,,,,,,Syndication,"Multifamily, Student Housing, Office",,,,,,
Strategic Projects Capital,strategicprojectscapital.com,,,,,,,,,,Syndication,"Multifamily, Student Housing, Senior Living",,,,,,
Arctos Capital,arctoscap.com,,,,,,,Canada,linkedin.com/company/arctos-cap,,Fund or Syndication,"Multifamily, Warehouse",,,,,,
Priam Properties,priamproperties.com,,,,,,,,linkedin.com/company/priam-capital/about,,Syndication,Office,,,,,,
Pillar Commercial,pillarcommercial.com,,,,,,,,,,Syndication,"Office, Industrial, Construction, Management",,,,,,
PRP,prprei.com,,,,,,,,,,Syndication,"Office, Industrial, Multifamily, Commercial",,,,,,
Greenlaw Partners,greenlawpartners.com,Newport Beach,California,92659,,,,United States,linkedin.com/company/greenlaw-partners,,Syndication,"Office, Industrial, Multifamily, Residential, Land, Retail, Hospitality",,,,,,
MCA Realty,mca-realty.com,,,,,,,,,,Fund,"Office, Industrial, Retail",,,,,,
Matt - Lingerfelt Commonwealth,lingerfelt.co,,,,,,,,linkedin.com/company/lingerfelt,2500000000,Fund,"Office, Industrial, Retail, Multifamily, Hotel, Medical",,,,,,
Kay Properties & Investments,kpi1031.com,Palos Verdes Estates,California,90274,,2516,Vía Tejon,United States,linkedin.com/company/kpi1031,,Syndication,"Office, Multifamily",,,,,,
Capstone Equities,capstoneeq.com,,,,,,,,,,Syndication,"Office, Multifamily, Retail",,,,,,
GK Real Estate,gk-re.com,,,,,,,,linkedin.com/company/gk-development-inc-,,Syndication,"Office, Residential, Commercial",,,,,,
JBG SMITH,jbgsmith.com,Bethesda,Maryland,20814,,4747,Bethesda Avenue,United States,linkedin.com/company/jbgsmith,,,"Office, Residential, Retail",,,,,,
Six Ten,sixtenllc.com,,,,,,,,linkedin.com/company/six-ten-llc,,,"Office, Retail",,,,,,
FREO Group,freogroup.com,,,,,,,,linkedin.com/company/freo-group,,Syndication,"Office, Retail, Multi Use, Hotel, Residential, Industrial",,,,,,
Basin Street Properties,basin-street.com,,,,,,,,,,Syndication,"Office, Retail, Residential, Hospitality",,,,,,
FI Real Estate Capital Management,firealestatefunds.com,,,,,,,,,,Fund,Property Management,,,,,,
BDR Capital LLC,bdrholdings.com,,,,,,,,,,Syndication,Residential,,,,,,
Breakform Ventures,breakformre.com,,,,,,,,,,Syndication,Residential,,,,,,
Chatham Bay Group,chathambay.com,,,,,,,,linkedin.com/company/chatham-bay-group,,,Residential,,,,,,
Cornerstone Realty Partners,cornerstonerealtypartners.com,,,,,,,Canada,,,Syndication,Residential,,,,,,
Crowd Capital,crowdcapital.io,Miami,Florida,33132,,31,Northeast 17th Street,United States,linkedin.com/company/crowdcapitalco,,Fund,Residential,,,,,,
Fall Creek Asset Management,fallcreekassetmanagement.com,Indianapolis,Indiana,,,,,United States,,,Syndication,Residential,,,,,,
Homestead Properties Inc.,homesteadpropertiestn.com,,,,,,,,linkedin.com/company/homestead-properties,,,Residential,,,,,,
KeyGlee,keyglee.com,Phoenix,Arizona,,,,,United States,linkedin.com/company/keyglee,,,Residential,,,,,,
Pretium Ranch,pretium.com,,,,,,,,linkedin.com/company/pretium-partners-llc,51800000000,Syndication,Residential,,,,,,
Bridge Capital Management,bridgecapitalmanagement.com,Lenexa,Kansas,66215,,11248,Strang Line Road,United States,linkedin.com/company/bridge-capital-management-llc,,Fund,"Residential, Commercial",,,,,,
Citivest,citivestinc.com,,,,,,,,linkedin.com/company/citivest-inc,,Syndication,"Residential, Commercial",,,,,,
Diversified Properties,diversifiedproperties.com,Montville,New Jersey,,,,,United States,https://www.linkedin.com/company/diversifiedproperties/,1500000000,Syndication,"Residential, Commercial",,,,,,
Ethos Development,ethosdevelopmentllc.com,,,,,,,,linkedin.com/company/ethos-development-llc,,Syndication,"Residential, Commercial",,,,,,
Fifield Companies,fifieldco.com,,,,,,,,,,,"Residential, Commercial",,,,,,
Godwin Group,godwingroup.co.uk,,England,B3,,1,Newhall Street,United Kingdom,linkedin.com/company/godwin-developments-llp,,Syndication,"Residential, Commercial",,,,,,
Humabuilt Capital,humabuilt.com,Apex,North Carolina,,,,,United States,,,,"Residential, Commercial",,,,,,
G Street Ventures,gstreetventures.com,San Francisco,California,94108,,237,Kearny Street,United States,linkedin.com/company/g-street-ventures,,Syndication,"Residential, Commercial, Hotel, Retail, Multifamily",,,,,,
Bond Companies,bondcompanies.com,,,,,,,,,,Syndication,"Residential, Commercial, Mixed Use",,,,,,
Extell Development Company,extell.com,,,,,,,,linkedin.com/company/extell-development-company,,Syndication,"Residential, Commercial, Mixed Use, Hospitality",,,,,,
JMD Realty,jmdcre.com,,,,,,,,linkedin.com/company/jmd-realty,,,"Residential, Commercial, Multifamily, Land",,,,,,
American Real Estate Partners,americanrepartners.com,,,,,,,,linkedin.com/company/american-real-estate-partners,5300000000,Syndication,"Residential, Data Centers",,,,,,
The Buccini/Pollin Group,bpgroup.net,Chevy Chase,Maryland,,,,,United States,,6000000000,Syndication,"Residential",,,,,,
Insight Property Group,insightpropertygroupllc.com,,,,,,,Canada,linkedin.com/company/insight-property-group-llc,,,"Residential, Mixed Use",,,,,,
J. Jeffers & Co.,jjeffers.com,,,,,,,,linkedin.com/company/j-jeffers-&-co,,,"Residential, Mixed Use",,,,,,
Bellaire Real Estate Funds,bellairerealestatefunds.com,Los Angeles,California,91364,,20929,Ventura Boulevard,United States,linkedin.com/company/bellaire-real-estate-funds,,Fund,"Residential, Multifamily",,,,,,
F Street Group,fstreetgroup.com,,,,,,,,linkedin.com/company/f-street-corporation,,Fund or Syndication,"Residential, Multifamily",,,,,,
JID Investments,jidinvestments.com,Burke,Virginia,,,,,United States,linkedin.com/company/jid-investments-llc,,Fund or Syndication,"Residential, Multifamily",,,,,,
Corporex Companies,corporex.com,Covington,Kentucky,41011,,100,East Rivercenter Boulevard,United States,linkedin.com/company/corporex,1000000000,Syndication,"Residential, Retail, Hotel, Mixed Use, Hospitality",,,,,,
Medearis Holdings,qurateretailgroup.com,Elizabeth,Colorado,80107,,,,United States,,,Syndication,Retail,,,,,,
CEG Capital Partners,cegadvisors.com,San Diego,California,,,,,United States,linkedin.com/company/ceg-capital-partners,,Syndication,"Retail, Industrial, Office",,,,,,
KM Realty Advisors LLC,kmrealty.net,,,,,,,,linkedin.com/company/km-realty,,,"Retail, Land",,,,,,
Cameron Property,cameronpropertyco.com,Charlotte,North Carolina,,,,,United States,linkedin.com/company/cameronpropertycompany,,Syndication,"Retail, Mixed Use, Industrial",,,,,,
Harbert Realty Services,harbertrealty.com,Birmingham,Alabama,35203,150,2,20th Street North,United States,linkedin.com/company/harbert-realty-services,,,"Retail, Multifamily",,,,,,
Aries Real Estate,ariesre.com,Northbrook,Illinois,60062,,3175,Commercial Avenue,United States,,,Syndication,"Retail, Multifamily, Commercial",,,,,,
Dunton Commercial,dunton-commercial.com,,,,,,,,linkedin.com/company/dunton-commercial-real-estate,,Syndication,"Retail, Office, Industrial",,,,,,
Creative Realty Group,creativerealtygroup.com,Miami,Florida,33161,,10800,Biscayne Boulevard,United States,linkedin.com/company/creative-realty-group,,Syndication,"Retail, Residential, Medical",,,,,,
Embree Group,embreegroup.com,Georgetown,Texas,78633,,4747,Williams Drive,United States,linkedin.com/company/embree-group,,Syndication,"Retail, Storage, Healthcare",,,,,,
Climb Capital,climbcapital.com,Pensacola,Florida,,,,,United States,linkedin.com/company/climb-capital,49000000,Fund or Syndication,RV Parks,,,,,,
CMG,cmgparks.com,,,,,,,,,,Syndication,RV Parks,,,,,,
"Blue Metric Group, LLC",bluemetricgroup.com,,,,,,,Canada,linkedin.com/company/bluemetric,,Syndication,RV Parks,,,,,,
Abernathey Holdings,abernatheyholdingco.com,Scottsdale,Arizona,85251,,7150,East Camelback Road,United States,linkedin.com/company/abernathey-holdings,,Fund,Storage,,,,,,
Belrose Storage Group,belrosestoragegroup.com,,,,,,,Canada,linkedin.com/company/belrose-storage-group,,Syndication,Storage,,,,,,
Pebble Ridge Capital,pebbleridgecap.com,,,,,,,,linkedin.com/company/pebble-ridge-cap,,Syndication,Storage,,,,,,
Airworthy Capital,airworthycapital.com,,,,,,,,linkedin.com/company/airworthycapital,,Fund,"Storage, Apartments, Multifamily",,,,,,
Cornerstone Development,cornerstonedev.com,,,,,,,,,,Syndication,"Storage, Condominiums",,,,,,
The Jenkins Organization,jenkinsorg.com,,,,,,,,linkedin.com/company/the-jenkins-organization1,,,"Storage, RV Parks",,,,,,
Senior Living Fund,seniorlivingfund.com,Lenexa,Kansas,,,,,United States,linkedin.com/company/senior-living-fund,,Fund,Senior Housing,,,,,,
McFarlin Group,mcfarlin-group.com,,,,,,,,,,Syndication,Senior Living,,,,,,
EPOC Real Estate,epocre.com,Austin,Texas,78741,,2301,East Riverside Drive,United States,linkedin.com/company/epoc-real-estate,74000000,Fund,Single Family,,,,,,
The Peak Group,thepeak.group,Hurst,Texas,76054,,1845,Precinct Line Road,United States,linkedin.com/company/thepeakgroup,,Syndication,Single Family,,,,,,
Cove Capital Investments,covecapitalinvestments.com,Rolling Hills Estates,California,,,,,United States,,,Fund or Syndication,"Single Family, Multifamily",,,,,,
Gatsby Investment,gatsbyinvestment.com,Beverly Hills,California,90212,,9454,Wilshire Boulevard,United States,linkedin.com/company/gatsby-investment,,Fund or Syndication,"Single Family, Multifamily",,,,,,
KeyCity Capital,keycitycapital.com,,,,,,,,inkedin.com/company/keycity-capital,485000000,Syndication,"Single Family, Multifamily",,,,,,
The Klimenko Group,klimenkogroup.com,San Diego,California,92037,,737,Pearl Street,United States,https://www.linkedin.com/company/klimenkogroup/,,Syndication,"Single Family, Multifamily",,,,,,
Rent Safe,rentsafellc.com,,,,,,,,,,Syndication,Single Family,,,,,,
Systematic Capital Management,systematiccap.com,Weatherford,Texas,,,,,United States,https://www.linkedin.com/company/systematiccapital/,,Syndication,"Single Family, Commercial, Multifamily",,,,,,
10 Federal,10federal.com,Raleigh,North Carolina,27604,,3301,Atlantic Avenue,United States,linkedin.com/company/10-federal-management,500000000,Fund,Storage,,,,,,
AMR REIT,amr.capital,Dallas,Texas,75201,,200,Crescent Court,United States,https://www.linkedin.com/company/amrcapital/,,Fund,Storage,,,,,,
Bolt Storage,boltstorage.com,Athens,Georgia,30606,,125,Lar Court,United States,linkedin.com/company/bolt-storage,,,Storage,,,,,,
Commune Capital,communecapital.com,Thousand Oaks,California,91362,,,,United States,linkedin.com/company/commune-capital,,Fund,Storage,,,,,,
Crystal Peaks Storage Group,cp-investments.com,,,,,,,,,,Syndication,Storage,,,,,,
Hearthfire Holdings,hfireholdings.com,,,,,,,,linkedin.com/company/hearthfire-holdings,50,Syndication,Storage,,,,,,
Invest With Legacy,investwithlegacy.com,Haddonfield,New Jersey,,,,,United States,https://www.linkedin.com/company/legacy-developers-llc/,,,Storage,,,,,,
Golden State Storage,goldenstatestorage.com,Camarillo,California,93010,,400,West Ventura Boulevard,United States,,60,Syndication,Storage,,,,,,
Prestige Storage Capital,prestigestoreit.com,Columbus,Ohio,43216,,,,United States,linkedin.com/company/prestige-storage-capital,,Syndication,Storage,,,,,,
Reliant Real Estate,reliant-mgmt.com,Roswell,Georgia,30075,,1146,Canton Street,United States,linkedin.com/company/reliant-self-storage,,Syndication,Storage,,,,,,
Riverbound,riverboundcustomstorage.com,,,,,,,,,,,Storage,,,,,,
Storage Investing,selfstorageinvesting.com,,,,,,,,linkedin.com/company/self-storage-investing,,Syndication,Storage,,,,,,
SNL Storage,snlstorage.com,New Hyde Park,New York,11042,,3333,New Hyde Park Road,United States,linkedin.com/company/snl-construction-llc,,Syndication,Storage,,,,,,
Spartan Investment Group,spartan-investors.com,Washington,District of Columbia,20003,,611,Pennsylvania Avenue Southeast,United States,linkedin.com/company/spartan-investment-group-llc,500000000,Syndication,Storage,,,,,,
Titan Wealth Group,titanwealthgroup.com,Chicago,Illinois,60657,,3023,North Clark Street,United States,linkedin.com/company/titanwealthgroup,,Syndication,Storage,,,,,,
Vault Venture,vaultventures.net,,,,,,,,https://www.linkedin.com/company/vault-venture-llc/,49000000,Syndication,Storage,,,,,,
DealPoint Merrill,dealpointmerrill.com,Los Angeles,California,90025,,11620,Wilshire Boulevard,United States,linkedin.com/company/dealpoint-merrill,1000000000,Fund or Syndication,"Storage, Commercial",,,,,,
VanWest Partners,vanwestpartners.com,Denver,Colorado,80223,,1830,South Bannock Street,United States,linkedin.com/company/vanwest-partners,,Syndication,"Storage, Commercial",,,,,,
Terrapin Investments,terrapininvestments.com,,,,,,,,,,Syndication,"Storage, Hospitality",,,,,,
Stoic Equity Partners,stoicep.com,,,,,,,,,,Syndication,"Storage, Industrial, Commercial",,,,,,
Ojai Oil,ojaioil.com,Camarillo,California,93010,,400,West Ventura Boulevard,United States,linkedin.com/company/ojai-oil-company,,Syndication,"Storage, Management, Commercial",,,,,,
Platinum Storage Group & Storage Direct,platinumstorage.com,,,,,,,,,,Syndication,"Storage, Management, Commercial",,,,,,
SMK Capital Management,smkcap.com,Bend,Oregon,,,,,United States,,,Fund,"Storage, Mobile Home, ATM, Multifamily",,,,,,
Harvard Grace Capital,harvardgrace.com,,,,,,,,linkedin.com/company/harvard-grace-corporation,17200000,Syndication,"Storage, Office",,,,,,
IBEX Real Estate Funds,ibexfund.us,,,,,,,,,,Fund,"Storage, Office",,,,,,
Campus Advantage,campusadv.com,Austin,Texas,78746,,110,Wild Basin Road South,United States,linkedin.com/company/campus-advantage,,Syndication,Student Housing,,,,,,
Student Quarters,livesq.com,Atlanta,Georgia,30303,,206,Edgewood Avenue Northeast,United States,linkedin.com/company/student-quarters,,Syndication,Student Housing,,,,,,
OC Ventures,oc-ventures.com,,,,,,,,,6000,Syndication,Student Housing,,,,,,
Sotol Capital,sotolcapital.com,,,,,,,,,,Syndication,Student Housing,,,,,,
Zyyo,zyyo.com,,,,,,,,linkedin.com/company/zyyo,300000000,,Tech Real Estate,,,,,,
Vacation Rental Real Estate,vacationrentalre.com,San Diego,California,92121,,6450,Lusk Boulevard,United States,linkedin.com/company/vacation-rental-real-estate,,Syndication,Vacation Rental,,,,,,
Mansion Group,mansion.io,,,,,,,,,,Syndication,Vacation Rentals,,,,,,
